seeker_post,response_post,augmented_flag,rationales,first_rationale,longest_rationale
I am tired. I want to commit suicide but I just cant. I just cant. I just find it all meaningless. Everything is so meaningless. Help me man. Help me. I beg you. Just help me.,"I've come to help you. But I can't do much. Encouragement- they're all lies. I can understand how you feel because I am exactly in your shoes. If I kill myself I'm scared that I'll go to hell. So I'm stuck. But I can assure you that you are not alone. And if you want, you just got to hold on.",0,"I've come to help you. But I can't do much. Encouragement- they're all lies. I can understand how you feel because I am exactly in your shoes. If I kill myself I'm scared that I'll go to hell. So I'm stuck. But I can assure you that you are not alone. And if you want, you just got to hold on.|","I've come to help you. But I can't do much. Encouragement- they're all lies. I can understand how you feel because I am exactly in your shoes. If I kill myself I'm scared that I'll go to hell. So I'm stuck. But I can assure you that you are not alone. And if you want, you just got to hold on.","I've come to help you. But I can't do much. Encouragement- they're all lies. I can understand how you feel because I am exactly in your shoes. If I kill myself I'm scared that I'll go to hell. So I'm stuck. But I can assure you that you are not alone. And if you want, you just got to hold on."
My crush just told me she cant love but i would be her first choice and its killing me inside. Because she acts somewhat like a girlfriend to me but will never love me is just so depressing to know that youre so close but will never get there,like standing behind a glass wall with all of your dreams ahead of you. I know how it feels.,0,I know how it feels.|,I know how it feels.,I know how it feels.
I hate when people trick me into believing I can count on them... Then when you need them they disappear..,"The key is to have no expectations, especially when it comes to other people",0,,,
I've just spent the entire day in bed. It feels wrong to think I've had a bad day.,"Hey, is there something that's overwhelming you, or something that you are avoiding? What is going on? Why are you in bed? Sometimes when you share it can help to lighten the burden.",0,,,
"I'm pathetic. If I see girls or anything about couples or marriage, I get super sad and feel like crying. My depression is just getting worse day by day.","Hey, I feel the same way. quite demoralizing to see everyone in a relationship when all you want at times. Most of my friends are in committed relationships. So, been times where I was the only single guy in the room. I say anything, but deep down it kind of hurts. I help but think I just I realize that not something I could say to anyone else. I could never look at anyone call them unlovable. So why can I say it myself? Why do we think such nasty thoughts about ourselves? My friend, you do deserve love, and I hope that it comes to you. :) Oh, and social media is terrible for this type of feeling btw. been staying off Facebook, Instagram, and Snapchat lately. I now feel a lot more secure in my status as not constantly bombarded with pictures of happy couples (who are also usually just posing for the picture, sometimes they break up the next day).",0,"My friend, you do deserve love, and I hope that it comes to you.|","My friend, you do deserve love, and I hope that it comes to you.","My friend, you do deserve love, and I hope that it comes to you."
Is there a difference between compassion and pity? Can I get better at recognizing it?. I hate opening up to people because I am afraid they'll throw a pity party for me. I don't want to be pitied; I want to be understood. But it seems like everyone's first response is pity. It makes me feel like a burden to them.,At least it's something. Would you rather have them pity you or not give a shit? I feel alone with everyone I'm around. I think it'd be worse knowing I'm truly alone. Embrace it because they love you regardless how you are as a person. (How's that for not wanting to be pitied? ;) ),0,,,
"Friendless, jobless, skillless, useless... Anyone in the same boat?","You are not useless. I used to think the same, but I have always been good at writing and research. I decided to start freelancing my services, and I do quite well for myself. It's no replacement to a full time job just yet, but I really enjoy the freedom and receiving positive client feedback. Everyone has something to offer, just have to make a start..",0,You are not useless|,You are not useless,You are not useless
"I constantly feel morally and intellectually superior to everyone around me, but with no evidence to back up these feelings.. Like, I'll look around me as I sit in lectures or walk around the university campus and think to myself these people are just so stupid, they understand nothing, they're so shallow and empty-headed, and I feel 100% confident in being right, but then I'll try to logically think about why I'm superior (and I'm also 100% certain that I *am* superior), and I come up with nothing. In any quantifiable measure of superiority, I always fail. And yet, I can't shake this feeling that everyone else is inferior to me. I think maybe it's just a gut reaction because of how unhappy and depressed I am, but I don't know. I know that I probably sound like a complete asshole to anyone reading this, but it's how I honestly feel.","Maybe it's a defense mechanism you created when you were a child? Maybe if you really searched, it's because on the inside you truly feel inferior?",0,,,
Flopping on social medias can be kinda depressing. I have 30 Instagram followers. How to get more?,"Why is that depressing? You should not let the amount of followers determine how you feel, especially not to this extent. It is not a reflection of what you are worth nor how successful your life is. Even if you would get more followers, what would this solve? You would not even know who most of those people are. I also doubt that an illusion like this could provide anyone with actual happiness. And Instagram has a pretty messed up algorithm anyway, I would personally not even bother.",0,,,
"I hate myself. I'm 14 and starting highschool in a month. I have one friend. this friend is avoiding me and I don't think they need me anymore. I don't feel loved by anyone. I hate myself for being such an ugly, dumb, stupid freaking freak.",Chill man high school isn't that bad all you have to do is just be chill and if you don't want to talk to anyone that's fine but eventually someone will want to talk to you that's just how it is :),0,Chill man high school isn't that bad all you have to do is just be chill and if you don't want to talk to anyone that's fine but eventually someone will want to talk to you that's just how it is :)|,Chill man high school isn't that bad all you have to do is just be chill and if you don't want to talk to anyone that's fine but eventually someone will want to talk to you that's just how it is :),Chill man high school isn't that bad all you have to do is just be chill and if you don't want to talk to anyone that's fine but eventually someone will want to talk to you that's just how it is :)
