empathy,augmented_flag,rationales,first_rationale,longest_rationale
1,0,"I've come to help you. But I can't do much. Encouragement- they're all lies. I can understand how you feel because I am exactly in your shoes. If I kill myself I'm scared that I'll go to hell. So I'm stuck. But I can assure you that you are not alone. And if you want, you just got to hold on.|","I've come to help you. But I can't do much. Encouragement- they're all lies. I can understand how you feel because I am exactly in your shoes. If I kill myself I'm scared that I'll go to hell. So I'm stuck. But I can assure you that you are not alone. And if you want, you just got to hold on.","I've come to help you. But I can't do much. Encouragement- they're all lies. I can understand how you feel because I am exactly in your shoes. If I kill myself I'm scared that I'll go to hell. So I'm stuck. But I can assure you that you are not alone. And if you want, you just got to hold on."
1,0,I know how it feels.|,I know how it feels.,I know how it feels.
0,0,,,
0,0,,,
1,0,"My friend, you do deserve love, and I hope that it comes to you.|","My friend, you do deserve love, and I hope that it comes to you.","My friend, you do deserve love, and I hope that it comes to you."
0,0,,,
1,0,You are not useless|,You are not useless,You are not useless
0,0,,,
0,0,,,
1,0,Chill man high school isn't that bad all you have to do is just be chill and if you don't want to talk to anyone that's fine but eventually someone will want to talk to you that's just how it is :)|,Chill man high school isn't that bad all you have to do is just be chill and if you don't want to talk to anyone that's fine but eventually someone will want to talk to you that's just how it is :),Chill man high school isn't that bad all you have to do is just be chill and if you don't want to talk to anyone that's fine but eventually someone will want to talk to you that's just how it is :)
0,0,,,
0,0,,,
0,0,,,
1,0,hope you all the best in your journey|,hope you all the best in your journey,hope you all the best in your journey
0,0,,,
0,0,,,
1,0,Please don't. Its just not right choice make. There is always something that can be done other than that.|,Please don't. Its just not right choice make. There is always something that can be done other than that.,Please don't. Its just not right choice make. There is always something that can be done other than that.
0,0,,,
0,0,,,
0,0,,,
1,0,im here if you want to talk op. ps-noice username lol|,im here if you want to talk op. ps-noice username lol,im here if you want to talk op. ps-noice username lol
0,0,,,
0,0,,,
1,0,I am sorry|,I am sorry,I am sorry
0,0,,,
0,0,,,
0,0,,,
1,0,"Keep positive man, the best thing you can do is focus on yourself and your endeavors. Never quit, never give up. You got this man.|","Keep positive man, the best thing you can do is focus on yourself and your endeavors. Never quit, never give up. You got this man.","Keep positive man, the best thing you can do is focus on yourself and your endeavors. Never quit, never give up. You got this man."
1,0,wanna talk? msg me if ya want.|im someone to talk to|,wanna talk? msg me if ya want.,wanna talk? msg me if ya want.
1,0,but I'll just say: try not to be alone and talk to someone that you can be honest with. Good luck.|,but I'll just say: try not to be alone and talk to someone that you can be honest with. Good luck.,but I'll just say: try not to be alone and talk to someone that you can be honest with. Good luck.
1,0,No it wouldn't|,No it wouldn't,No it wouldn't
1,0,"Don't let disappointment get to you, look at it this way, being disappointment means you know you could've done better.|Just keep on.|","Don't let disappointment get to you, look at it this way, being disappointment means you know you could've done better.","Don't let disappointment get to you, look at it this way, being disappointment means you know you could've done better."
1,0,Sorry man|,Sorry man,Sorry man
0,0,,,
0,0,,,
1,0,There's no better person to tell someone something than a nurturing mother. They typically love you unconditionally.|And it's not like you are admitting you have gay sex or addictions to banging drugs up your arm or killed someone... This is (not to be insensitive) remotely benign to say to your family..|,There's no better person to tell someone something than a nurturing mother. They typically love you unconditionally.,And it's not like you are admitting you have gay sex or addictions to banging drugs up your arm or killed someone... This is (not to be insensitive) remotely benign to say to your family..
0,0,,,
1,0,"if you need to talk about it, you can DM me.|","if you need to talk about it, you can DM me.","if you need to talk about it, you can DM me."
1,0,"I will.|I'd like someone to talk to, too. PM me.|",I will.,"I'd like someone to talk to, too. PM me."
0,0,,,
1,0,"Silver lining and framing and all that jazz. Best of luck, friend.|","Silver lining and framing and all that jazz. Best of luck, friend.","Silver lining and framing and all that jazz. Best of luck, friend."
1,0,I know the feeling.|,I know the feeling.,I know the feeling.
1,0,"You are on your own, which gives you the power to turn it around!|","You are on your own, which gives you the power to turn it around!","You are on your own, which gives you the power to turn it around!"
1,0,Hang in there! Some days are just harder than others|know that you are not alone! I hope tomorrow is a good day!|,Hang in there! Some days are just harder than others,know that you are not alone! I hope tomorrow is a good day!
0,0,,,
0,0,,,
1,0,"Yea, I feel you.|I hope this new time brings you all reading this some hope, some recovery, some love, some kindness... sending lots of good energy to your way!|","Yea, I feel you.","I hope this new time brings you all reading this some hope, some recovery, some love, some kindness... sending lots of good energy to your way!"
1,0,Very sorry to hear it.|,Very sorry to hear it.,Very sorry to hear it.
0,0,,,
0,0,,,
0,0,,,
1,0,"Please don't do it. If I'm still here, you better stay too.|","Please don't do it. If I'm still here, you better stay too.","Please don't do it. If I'm still here, you better stay too."
0,0,,,
1,0,really sorry for how feeling right now|,really sorry for how feeling right now,really sorry for how feeling right now
0,0,,,
0,0,,,
0,0,,,
1,0,Do you want to talk about it?|,Do you want to talk about it?,Do you want to talk about it?
1,0,"Good luck friend I wish you the best.|Anyway, know you are brave and I am so proud of you for taking initiative to help yourself. You deserve to get better and I believe in you!|",Good luck friend I wish you the best.,"Anyway, know you are brave and I am so proud of you for taking initiative to help yourself. You deserve to get better and I believe in you!"
0,0,,,
0,0,,,
1,0,Hmu if you want to talk|,Hmu if you want to talk,Hmu if you want to talk
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,0,There is nothing more rewarding than seeing actual results! Congratulations on having a clean bedroom and bathroom.|,There is nothing more rewarding than seeing actual results! Congratulations on having a clean bedroom and bathroom.,There is nothing more rewarding than seeing actual results! Congratulations on having a clean bedroom and bathroom.
1,0,"Talk it all out here if you need to|PM if you need help or need to talk, always willing to!|YOU ARE NOT ALONE!|",Talk it all out here if you need to,"PM if you need help or need to talk, always willing to!"
0,0,,,
0,0,,,
