empathy,augmented_flag,rationales,first_rationale,longest_rationale
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,0,Can you reach out to her and tell the same thing to her that you told here right now? I|,Can you reach out to her and tell the same thing to her that you told here right now? I,Can you reach out to her and tell the same thing to her that you told here right now? I
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,0,Have you spoken to a medical professional about it?|,Have you spoken to a medical professional about it?,Have you spoken to a medical professional about it?
0,0,,,
1,0,What is on your mind?|,What is on your mind?,What is on your mind?
1,0,What's your situation?|,What's your situation?,What's your situation?
1,0,"What would make you feel better, do you know?|","What would make you feel better, do you know?","What would make you feel better, do you know?"
1,0,Hey do you like purple velvet cake??|,Hey do you like purple velvet cake??,Hey do you like purple velvet cake??
1,0,Do you have any good friends?|,Do you have any good friends?,Do you have any good friends?
1,0,What's your story and I'll share mine?|,What's your story and I'll share mine?,What's your story and I'll share mine?
0,0,,,
1,0,"She's your best friend, right? That must mean you care for her.|","She's your best friend, right? That must mean you care for her.","She's your best friend, right? That must mean you care for her."
1,0,Are you in high school or college? How are you getting around not getting kicked out due to absences (if high school).|,Are you in high school or college? How are you getting around not getting kicked out due to absences (if high school).,Are you in high school or college? How are you getting around not getting kicked out due to absences (if high school).
1,0,Aren't you glad when someone comes to you?|,Aren't you glad when someone comes to you?,Aren't you glad when someone comes to you?
1,0,What makes you feel this way?|,What makes you feel this way?,What makes you feel this way?
1,0,What happened?|,What happened?,What happened?
0,0,,,
0,0,,,
1,0,In what way is it dragging her down?|,In what way is it dragging her down?,In what way is it dragging her down?
1,0,What convinced you|,What convinced you,What convinced you
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,0,Get help in what way?|,Get help in what way?,Get help in what way?
1,0,where are you from?|,where are you from?,where are you from?
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,0,Any reason this all happened to you?|,Any reason this all happened to you?,Any reason this all happened to you?
0,0,,,
0,0,,,
1,0,What's making you feel so worthless right now?|,What's making you feel so worthless right now?,What's making you feel so worthless right now?
1,0,"What if you are already putting your life ahead of others, but you are still depressed?|","What if you are already putting your life ahead of others, but you are still depressed?","What if you are already putting your life ahead of others, but you are still depressed?"
1,0,what are you needing help with?|,what are you needing help with?,what are you needing help with?
1,0,Do you have the option to look for different work? How long have you been there?|,Do you have the option to look for different work? How long have you been there?,Do you have the option to look for different work? How long have you been there?
1,0,Could you call child protective services?|,Could you call child protective services?,Could you call child protective services?
1,0,Have you looked into therapy?|,Have you looked into therapy?,Have you looked into therapy?
0,0,,,
0,0,,,
0,0,,,
