empathy,augmented_flag,rationales,first_rationale,longest_rationale
1,0,What makes you feel bad about yourself? Is there anything you truly hate about you?|,What makes you feel bad about yourself? Is there anything you truly hate about you?,What makes you feel bad about yourself? Is there anything you truly hate about you?
1,1,Hi! Not even something little?|,Hi! Not even something little?,Hi! Not even something little?
0,0,,,
0,0,,,
1,0,Can I ask why you have depression?|,Can I ask why you have depression?,Can I ask why you have depression?
0,0,,,
1,1,do you have any parents?|,do you have any parents?,do you have any parents?
1,0,What responsibility?|Why is that a responsibility.|Did someone give it to you?|,What responsibility?,Why is that a responsibility.
1,1,What makes you happy now? Or at least what distracts you from how much you hate yourself?|,What makes you happy now? Or at least what distracts you from how much you hate yourself?,What makes you happy now? Or at least what distracts you from how much you hate yourself?
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,1,Why is apologizing not an option? Can you explain the situation a little?|,Why is apologizing not an option? Can you explain the situation a little?,Why is apologizing not an option? Can you explain the situation a little?
0,0,,,
1,0,How so are you a burden?|,How so are you a burden?,How so are you a burden?
0,0,,,
0,0,,,
0,0,,,
1,0,Can you just get one of those packages of pre-washed spinach and add those to your sandwiches as a start?|,Can you just get one of those packages of pre-washed spinach and add those to your sandwiches as a start?,Can you just get one of those packages of pre-washed spinach and add those to your sandwiches as a start?
1,0,"Are things getting better there, at least?|","Are things getting better there, at least?","Are things getting better there, at least?"
1,1,How are you feeling now?|,How are you feeling now?,How are you feeling now?
0,0,,,
0,0,,,
1,1,how deep does the rabbit hole go?|,how deep does the rabbit hole go?,how deep does the rabbit hole go?
0,0,,,
0,0,,,
1,0,"What were you like as a child? Were you high-achieving back then as well, and did you feel a pressure to do well in any aspect?|","What were you like as a child? Were you high-achieving back then as well, and did you feel a pressure to do well in any aspect?","What were you like as a child? Were you high-achieving back then as well, and did you feel a pressure to do well in any aspect?"
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,0,hows physuics going?|,hows physuics going?,hows physuics going?
1,0,why do you need to stay away from people? What about this situation makes it worse? And why is it a problem for you?|,why do you need to stay away from people? What about this situation makes it worse? And why is it a problem for you?,why do you need to stay away from people? What about this situation makes it worse? And why is it a problem for you?
0,0,,,
1,1,How old are you?|Can you get an appointment with your primary doctor?|,How old are you?,Can you get an appointment with your primary doctor?
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,0,Tell us more.|,Tell us more.,Tell us more.
1,1,What happened that brought you to this point?|,What happened that brought you to this point?,What happened that brought you to this point?
0,0,,,
1,1,got you feeling like this? Can you describe?|,got you feeling like this? Can you describe?,got you feeling like this? Can you describe?
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,0,How do you get that addiction?|,How do you get that addiction?,How do you get that addiction?
0,0,,,
0,0,,,
